lb,ub,Qsg,Tout,Tair_true,u_true
15.0,28.0,0.0,22.299999999999997,21.62914815118446,-695.6763
15.0,28.0,0.0,21.700000000000003,21.99094149210888,-908.8538
15.0,28.0,0.0,21.200000000000003,21.600091970509546,-530.29956
15.0,28.0,0.0,20.799999999999997,22.001090155079382,-668.83295
15.0,28.0,0.0,20.5,21.759107295883723,-400.9791
15.0,28.0,0.0,20.299999999999997,22.048651904934204,-442.84238
15.0,28.0,0.0,20.099999999999994,21.96595147822651,-415.75937
15.0,28.0,0.0,20.099999999999994,21.943629894376173,-407.01926
15.0,28.0,0.0,20.0,21.906852666694107,-390.70096
15.0,28.0,0.0,20.200000000000003,21.883894253772844,-382.95602
15.0,28.0,0.0,20.299999999999997,21.855368079611406,-362.3357
15.0,28.0,0.0,20.4,21.850441065052976,-359.92096
15.0,28.0,0.0,20.5,21.826213599612796,-351.94003
15.0,28.0,0.0,20.5,21.811289905217272,-350.056
15.0,28.0,0.0,20.5,21.79108896516705,-347.50574
15.0,28.0,3.13182539,20.700000000000003,21.773024397688395,-345.22516
15.0,28.0,23.19405008,20.9,21.75837023908051,466.34866
22.0,24.0,43.76850132,21.299999999999997,22.983298813332897,335.9496
22.0,24.0,67.27593293,21.700000000000003,23.02878010203683,249.518
22.0,24.0,90.76151053,22.1,22.995463172483305,192.4509
22.0,24.0,185.4519336,22.599999999999994,22.98826700342594,44.73712
22.0,24.0,209.78864610000002,23.0,23.058657984523524,-18.630249
22.0,24.0,319.87647180000005,23.5,23.063156375269337,-111.49332
22.0,24.0,326.4409276,24.299999999999997,23.033137429333014,-167.90704
22.0,24.0,409.7067972,25.0,23.035018223297442,-248.08592
22.0,24.0,438.8454556,26.099999999999994,23.01865314085448,-315.02014
22.0,24.0,510.84716280000004,27.200000000000003,23.012744146895244,-392.68408
22.0,24.0,569.0657482999999,27.799999999999997,23.002511745448544,-454.27405
22.0,24.0,624.2506003999999,28.400000000000006,23.015796717719944,-502.11908
22.0,24.0,640.6974275,28.799999999999997,23.053093174464685,-508.93903
22.0,24.0,640.4121142000001,29.200000000000003,23.146246468372844,-534.1807
22.0,24.0,632.900604,29.599999999999994,23.21184205459128,-558.05225
22.0,24.0,560.5199481000001,30.099999999999994,23.26781095634609,-595.53595
22.0,24.0,504.6112022,30.200000000000003,23.27719517430817,-616.3612
22.0,24.0,413.66999100000004,30.299999999999997,23.288605269372827,-637.6877
22.0,24.0,403.91339489999996,30.200000000000003,23.27304463597723,-636.2802
22.0,24.0,259.7831577,30.0,23.287936426152918,-617.6291
22.0,24.0,234.2952194,29.799999999999997,23.29118866658341,-613.8557
22.0,24.0,81.41601874,29.5,23.275391735261685,-610.6746
22.0,24.0,144.2153311,29.0,23.215994537327703,-602.36487
22.0,24.0,47.09719171,28.599999999999994,23.187854750874024,-537.368
22.0,24.0,60.12066382,28.599999999999994,23.02097840052364,-503.57852
22.0,24.0,21.945,26.799999999999997,22.993455313391742,-447.3323
22.0,24.0,11.55,25.700000000000003,23.003209558730767,-409.22064
22.0,24.0,17.47553059,24.599999999999994,22.991263774999815,-368.23816
15.0,28.0,0.0,24.0,22.985039779323813,-350.2549
15.0,28.0,0.0,23.299999999999997,22.943465517260407,-357.66016
15.0,28.0,0.0,22.9,22.862382752518347,-1154.9023
15.0,28.0,0.0,22.400000000000006,21.575182689187507,-649.9173
15.0,28.0,0.0,22.1,22.02931459168009,-919.3714
15.0,28.0,0.0,21.799999999999997,21.5732297527493,-523.86255
15.0,28.0,0.0,21.6,21.996622884589975,-656.39435
15.0,28.0,0.0,21.299999999999997,21.773550620603068,-403.0328
15.0,28.0,0.0,21.200000000000003,22.051278104475244,-443.557
15.0,28.0,0.0,21.0,21.97548800240159,-417.96353
15.0,28.0,0.0,20.9,21.957837671954096,-410.60855
15.0,28.0,0.0,20.799999999999997,21.92450296319396,-394.76624
15.0,28.0,0.0,20.700000000000003,21.905457258938338,-388.61923
15.0,28.0,0.0,20.60000000000001,21.877264437675066,-366.70645
15.0,28.0,0.0,20.60000000000001,21.87450065166218,-364.5931
15.0,28.0,0.0,20.60000000000001,21.84935114823843,-354.86105
15.0,28.0,0.0,20.60000000000001,21.835521440029133,-353.1151
15.0,28.0,0.0,20.5,21.813847401539007,-350.37885
15.0,28.0,1.98,20.799999999999997,21.794072399071688,-347.88235
15.0,28.0,41.21666164,21.1,21.777831967142514,466.64246
22.0,24.0,43.75690507,21.700000000000003,23.011626383794646,316.18262
22.0,24.0,130.0622843,22.299999999999997,23.027328396815435,209.8258
22.0,24.0,70.81115158,23.299999999999997,22.97750206650253,174.45868
22.0,24.0,184.12940469999998,24.400000000000006,22.99158120370863,17.049652
22.0,24.0,157.3872823,25.299999999999997,23.058244062917503,-44.192657
22.0,24.0,325.12658619999996,26.200000000000003,23.061230302895268,-153.05032
22.0,24.0,288.2181487,26.700000000000003,23.025425318446075,-204.53522
22.0,24.0,261.6936692,27.099999999999994,23.03325515214412,-256.10153
22.0,24.0,342.97610810000003,27.400000000000006,23.031029881088635,-323.29163
22.0,24.0,310.21051339999997,27.599999999999994,23.018509926089976,-364.75797
22.0,24.0,144.6645321,27.799999999999997,23.016443353776346,-357.07867
